title,category,dist,lat,lng,rating,reviewsCount,price
Courtyard by Marriott Riyadh Northern Ring Road,,"QM62+FH Al Muruj, Riyadh Saudi Arabia",24.7612493,46.6514352,4.2,476,
Superano,Ice cream shop,"RPJJ+75 Qurtubah, Riyadh Saudi Arabia",24.8306919,46.7304615,3.8,173,
Popeyes® Louisiana Kitchen,Chicken restaurant,"RMF4+HR Alyasmin, Riyadh Saudi Arabia",24.8239946,46.6570209,3.4,438,$$
Meral Crown Hotel,,"QPRQ+53 Ghirnatah, Riyadh Saudi Arabia",24.790448,46.73768,3.9,1175,
Dunkin' Donuts,Donut shop,"QPXQ+PW Ghirnatah, Riyadh Saudi Arabia",24.7992849,46.739759,4.1,503,$$
Melissa Hotel Riyadh,,"QPRR+M8 Ghirnatah, Riyadh Saudi Arabia",24.791702,46.7408151,4.1,904,
Terrace cafe,Restaurant,"QJFQ+PX Al Aqiq, Riyadh Saudi Arabia",24.7743153,46.6398613,3.9,182,
Charleys Cheesesteaks,Cheesesteak restaurant,"QPJJ+99 Ghirnatah, Riyadh Saudi Arabia",24.780882,46.730943,3.3,43,$
Hilton Riyadh Hotel & Residences,,"QPMH+W8 Ghirnatah, Riyadh Saudi Arabia",24.784823,46.7282641,4.2,6901,
برجر كنج,Hamburger restaurant,"QQ7X+6R Al Khaleej, Riyadh Saudi Arabia",24.7630265,46.7996333,3.7,494,$$
looz & Jooz,Nut store,,24.8148298,46.7260196,4.1,42,
"Radisson Blu Hotel, Riyadh Qurtuba",,"RPPQ+9R Qurtubah, Riyadh Saudi Arabia",24.8359819,46.7396024,4.3,385,
Amo Hamza Seafood Restaurant,Seafood restaurant,"QM8C+R4 Almasiaf, Riyadh Saudi Arabia",24.7670028,46.6702375,3.4,3186,$$
تاج القهوة,Cafe,,24.8186934,46.7430453,2.1,7,
Ibdaa Plaza,Shopping mall,"RP5M+MQ Qurtubah, Riyadh Saudi Arabia",24.8091333,46.7344058,4.1,4819,
Garden Restaurant,Restaurant,"JHR5+HJ Dhahrat Laban, Riyadh Saudi Arabia",24.6414685,46.559103,3.7,232,$
اسواق ومخابز حكاية الشمال,Supermarket,"RP9P+GF Qurtubah, Riyadh Saudi Arabia",24.8188174,46.7362158,4.1,290,
Popeyes,Restaurant,"QR2F+C7 An Nasim Ash Sharqi, Riyadh Saudi Arabia",24.7510693,46.8231769,3.8,19,$$
Sanabel Alsalam,Candy store,"RP2Q+CX Qurtubah, Riyadh Saudi Arabia",24.8011091,46.7399981,3.8,277,
Zaman Home For Arabic Coffee,Cafe,QH37+6H Ad Diriyah Saudi Arabia,24.7529822,46.5639165,4.2,548,$$
TGI Fridays,American restaurant,"MQMG+88 Ar Rabwah, Riyadh Saudi Arabia",24.6832725,46.7757995,3.7,1124,$$$
Braira Qurtubah Hotel,,"RP9R+48 Qurtubah, Riyadh Saudi Arabia",24.8178648,46.7408601,4,2615,
TASTY BROAST,Restaurant,"JRF2+XW Al-Manakh, Riyadh Saudi Arabia",24.6249244,46.8023151,4.4,15,
Montreux,Restaurant,"PJPW+7W Al Mohammadiyyah, Riyadh Saudi Arabia",24.735729,46.6472626,3.9,1072,$$$
Pick’N Go,Cafe,"RP78+39 Qurtubah, Riyadh Saudi Arabia",24.8127423,46.7159283,1,2,
The barking Lot,Coffee shop,"PM76+7J Ar Rahmaniyyah, Riyadh Saudi Arabia",24.7131463,46.6616104,3.3,318,
O'PO The O'Room,Restaurant,"QJJ8+8C Al Aqiq, Riyadh Saudi Arabia",24.780804,46.6161057,3.7,289,
Al Nakhla Residential Resort,,"RP5M+G3 Qurtubah, Riyadh Saudi Arabia",24.8088047,46.7327395,4.4,1053,
Rawafid supermarket,Supermarket,"RP5P+VJ Qurtubah, Riyadh Saudi Arabia",24.8097004,46.7365982,4.3,16,
Five Guys,Hamburger restaurant,"QP7W+C9 Al Hamra, Riyadh Saudi Arabia",24.763525,46.7459104,3.5,25,
فيول للحلويات المخفضة,Gourmet grocery store,"RQ83+2F Qurtubah, Riyadh Saudi Arabia",24.8151119,46.7536756,3.9,21,
MAMO Michelangelo,Restaurant,"MMQM+VX Al Olaya, Riyadh Saudi Arabia",24.6897082,46.6849989,3.7,836,
Mac,Restaurant,"PJ7M+C7 Al Raed, Riyadh Saudi Arabia",24.7135817,46.6332339,5,1,
Tamimi Markets,Supermarket,"RP4P+WW Qurtubah, Riyadh Saudi Arabia",24.8073364,46.7372693,4,2666,
Sidra Mall,Shopping mall,"QPHM+CG Ghirnatah, Riyadh Saudi Arabia",24.7785371,46.7338138,4.3,1924,
NOMAS COFFEE,Cafe,"PQF4+8J King Abdullah Dt., Riyadh Saudi Arabia",24.7233418,46.7565041,4.6,314,
Charleys Cheesesteaks,Cheesesteak restaurant,"QP98+8R Al Mughrizat, Riyadh Saudi Arabia",24.7683076,46.7170023,3.6,169,$
IntercityHotel Riyadh Malaz,,"MPCP+QC Al Malaz, Riyadh Saudi Arabia",24.6719401,46.7360507,4,715,
Shababik,Lebanese restaurant,,24.7068919,46.706891,3.7,1685,
The Lunchbox Restaurant,Indian restaurant,"MP55+5X Al Murabba, Riyadh Saudi Arabia",24.6579297,46.7099002,3.6,2063,$$
Shawarma 360 | شاورما 360,Restaurant,"RP2Q+5J Qurtubah, Riyadh Saudi Arabia",24.8003276,46.7390837,2.6,26,
The Lunch Box,Indian restaurant,"MP73+P9 Al Murabba, Riyadh Saudi Arabia",24.6642954,46.7034227,3,1,
Bahrya Restaurant,Seafood restaurant,"PQH8+QX Ar Rawdah, Riyadh Saudi Arabia",24.7294192,46.7674188,3.5,1406,$$
abu jbara restaurant ابو جبارة,Restaurant,"RM2F+FC Ar Rabi, Riyadh Saudi Arabia",24.8012307,46.673617,3.7,273,$$
Billionaire Riyadh بليونير,Italian restaurant,"PP34+GG As Sulimaniyah, Riyadh Saudi Arabia",24.7038588,46.7062752,3.2,1160,
Shawarma Plus,Fast food restaurant,"RP9J+2V Qurtubah, Riyadh Saudi Arabia",24.8175773,46.7321891,3.1,225,$$
Khyber Gate Restaurant,Pakistani restaurant,"JPC3+H5 Al-Shemaysi, Riyadh Saudi Arabia",24.6214739,46.7029234,4.3,228,$
Al Saeed Restaurant,Mutton barbecue restaurant,"JPHX+WP Al Khalidiyyah, Riyadh Saudi Arabia",24.6298137,46.7492736,4,5892,$$
قهوة زنك - Zinc cafe,Cafe,"RJ43+77 Al Malqa, Riyadh Saudi Arabia",24.805698,46.6032249,4.4,92,
Waterlemon,Restaurant,"MMXQ+JJ Al Olaya, Riyadh Saudi Arabia",24.6990924,46.68904,3.8,1651,$$$
Bin Menqash,Nut store,"RP2Q+QW Qurtubah, Riyadh Saudi Arabia",24.801899,46.739763,3.9,174,
